"day","UA","UD","FD","FA","fed","total","dead","wash_status","insecticide_name","treatment"
2020-09-02,8,1,0,0,0,9,1,"0","PermaNet2.0",1
2020-09-02,14,7,0,0,0,21,7,"0","PermaNet2.0",1
2020-09-02,96,19,0,0,0,115,19,"20","PermaNet2.0",1
2020-09-02,24,5,0,0,0,29,5,"20","PermaNet2.0",1
2020-09-02,42,6,0,0,0,48,6,"0","OlysetPlus",2
2020-09-02,25,19,0,0,0,44,19,"0","OlysetPlus",2
2020-09-02,106,3,0,0,0,109,3,"20","OlysetPlus",2
2020-09-02,103,29,1,0,1,133,30,"20","OlysetPlus",2
2020-09-02,16,1,0,1,1,18,1,"Control","Negative control",0
2020-09-02,0,0,0,0,0,0,0,"Control","Negative control",0
2020-09-03,39,0,0,1,1,40,0,"0","PermaNet2.0",1
2020-09-03,10,2,0,1,1,13,2,"0","PermaNet2.0",1
2020-09-03,20,1,0,1,1,22,1,"20","PermaNet2.0",1
2020-09-03,39,9,0,2,2,50,9,"20","PermaNet2.0",1
2020-09-03,40,15,1,0,1,56,16,"0","OlysetPlus",2
2020-09-03,30,13,0,0,0,43,13,"0","OlysetPlus",2
2020-09-03,34,9,0,0,0,43,9,"20","OlysetPlus",2
2020-09-03,30,9,0,0,0,39,9,"20","OlysetPlus",2
2020-09-03,11,0,0,0,0,11,0,"Control","Negative control",0
2020-09-03,4,2,0,0,0,6,2,"Control","Negative control",0
2020-09-04,14,0,0,0,0,14,0,"0","PermaNet2.0",1
2020-09-04,33,9,0,3,3,45,9,"0","PermaNet2.0",1
2020-09-04,96,7,0,0,0,103,7,"20","PermaNet2.0",1
2020-09-04,108,71,1,2,3,182,72,"20","PermaNet2.0",1
2020-09-04,13,34,0,0,0,47,34,"0","OlysetPlus",2
2020-09-04,7,1,0,0,0,8,1,"0","OlysetPlus",2
2020-09-04,47,9,0,0,0,56,9,"20","OlysetPlus",2
2020-09-04,24,8,0,0,0,32,8,"20","OlysetPlus",2
2020-09-04,18,0,0,3,3,21,0,"Control","Negative control",0
2020-09-04,1,0,0,0,0,1,0,"Control","Negative control",0
2020-09-05,33,10,0,0,0,43,10,"0","PermaNet2.0",1
2020-09-05,88,9,0,3,3,100,9,"0","PermaNet2.0",1
2020-09-05,63,7,0,0,0,70,7,"20","PermaNet2.0",1
2020-09-05,49,2,0,0,0,51,2,"20","PermaNet2.0",1
2020-09-05,40,9,0,0,0,49,9,"0","OlysetPlus",2
2020-09-05,21,8,0,1,1,30,8,"0","OlysetPlus",2
2020-09-05,87,7,0,2,2,96,7,"20","OlysetPlus",2
2020-09-05,35,9,0,0,0,44,9,"20","OlysetPlus",2
2020-09-05,17,0,0,0,0,17,0,"Control","Negative control",0
2020-09-05,21,0,0,3,3,24,0,"Control","Negative control",0
2020-09-06,14,6,0,0,0,20,6,"0","PermaNet2.0",1
2020-09-06,5,0,1,0,1,6,1,"0","PermaNet2.0",1
2020-09-06,27,0,0,1,1,28,0,"20","PermaNet2.0",1
2020-09-06,20,4,0,0,0,24,4,"20","PermaNet2.0",1
2020-09-06,20,4,0,0,0,24,4,"0","OlysetPlus",2
2020-09-06,7,9,0,0,0,16,9,"0","OlysetPlus",2
2020-09-06,35,10,0,0,0,45,10,"20","OlysetPlus",2
2020-09-06,76,20,0,0,0,96,20,"20","OlysetPlus",2
2020-09-06,67,2,1,2,3,72,3,"Control","Negative control",0
2020-09-06,6,0,0,0,0,6,0,"Control","Negative control",0
2020-09-07,21,0,0,0,0,21,0,"0","PermaNet2.0",1
2020-09-07,10,2,0,0,0,12,2,"0","PermaNet2.0",1
2020-09-07,12,1,0,2,2,15,1,"20","PermaNet2.0",1
2020-09-07,16,3,0,1,1,20,3,"20","PermaNet2.0",1
2020-09-07,19,7,0,0,0,26,7,"0","OlysetPlus",2
2020-09-07,9,10,0,0,0,19,10,"0","OlysetPlus",2
2020-09-07,118,5,0,1,1,124,5,"20","OlysetPlus",2
2020-09-07,33,11,0,0,0,44,11,"20","OlysetPlus",2
2020-09-07,20,0,0,0,0,20,0,"Control","Negative control",0
2020-09-07,9,0,0,2,2,11,0,"Control","Negative control",0
2020-09-08,18,1,0,0,0,19,1,"0","PermaNet2.0",1
2020-09-08,11,5,0,0,0,16,5,"0","PermaNet2.0",1
2020-09-08,20,0,0,0,0,20,0,"20","PermaNet2.0",1
2020-09-08,28,2,2,0,2,32,4,"20","PermaNet2.0",1
2020-09-08,31,4,1,1,2,37,5,"0","OlysetPlus",2
2020-09-08,11,1,0,0,0,12,1,"0","OlysetPlus",2
2020-09-08,60,16,0,1,1,77,16,"20","OlysetPlus",2
2020-09-08,41,12,0,0,0,53,12,"20","OlysetPlus",2
2020-09-08,18,5,0,2,2,25,5,"Control","Negative control",0
2020-09-08,18,2,0,2,2,22,2,"Control","Negative control",0
2020-09-10,39,6,0,0,0,45,6,"0","PermaNet2.0",1
2020-09-10,13,0,0,2,2,15,0,"0","PermaNet2.0",1
2020-09-10,34,9,0,1,1,44,9,"20","PermaNet2.0",1
2020-09-10,29,1,1,0,1,31,2,"20","PermaNet2.0",1
2020-09-10,60,18,0,0,0,78,18,"0","OlysetPlus",2
2020-09-10,22,9,0,2,2,33,9,"0","OlysetPlus",2
2020-09-10,94,17,0,1,1,112,17,"20","OlysetPlus",2
2020-09-10,37,9,0,0,0,46,9,"20","OlysetPlus",2
2020-09-10,36,4,0,1,1,41,4,"Control","Negative control",0
2020-09-10,23,0,1,3,4,27,1,"Control","Negative control",0
2020-09-11,10,2,0,0,0,12,2,"0","PermaNet2.0",1
2020-09-11,12,19,0,0,0,31,19,"0","PermaNet2.0",1
2020-09-11,21,7,1,0,1,29,8,"20","PermaNet2.0",1
2020-09-11,34,43,1,3,4,81,44,"20","PermaNet2.0",1
2020-09-11,32,23,0,0,0,55,23,"0","OlysetPlus",2
2020-09-11,17,38,0,0,0,55,38,"0","OlysetPlus",2
2020-09-11,24,11,0,0,0,35,11,"20","OlysetPlus",2
2020-09-11,71,12,0,0,0,83,12,"20","OlysetPlus",2
2020-09-11,5,0,0,0,0,5,0,"Control","Negative control",0
2020-09-11,5,1,0,0,0,6,1,"Control","Negative control",0
2020-09-12,18,23,0,2,2,43,23,"0","PermaNet2.0",1
