"day","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
62,"Control","Control",0,7,0,0,0,0,0,7
1,"Control","Control",0,10,2,3,0,2,3,15
2,"Control","Control",0,28,0,2,0,0,2,30
83,"Control","Control",0,16,0,2,0,0,2,18
23,"Control","Control",0,0,0,0,0,0,0,0
104,"Control","Control",0,0,0,0,0,0,0,0
65,"Control","Control",0,25,0,6,0,0,6,31
7,"Control","Control",0,2,0,1,0,0,1,3
25,"Control","Control",0,0,0,0,0,0,0,0
59,"Control","Control",0,10,0,0,0,0,0,10
44,"Control","Control",0,0,0,0,0,0,0,0
5,"Control","Control",0,8,0,4,0,0,4,12
80,"Control","Control",0,42,0,5,0,0,5,47
61,"Control","Control",0,15,0,1,0,0,1,16
10,"Control","Control",0,0,0,1,0,0,1,1
40,"Control","Control",0,0,0,0,0,0,0,0
86,"Control","Control",0,14,0,1,0,0,1,15
101,"Control","Control",0,0,0,1,0,0,1,1
95,"Control","Control",0,1,0,0,0,0,0,1
77,"Control","Control",0,48,0,9,0,0,9,57
26,"Control","Control",0,0,0,0,0,0,0,0
79,"Control","Control",0,16,0,5,0,0,5,21
58,"Control","Control",0,5,0,0,0,0,0,5
38,"Control","Control",0,1,0,1,0,0,1,2
41,"Control","Control",0,3,0,1,0,0,1,4
30,"Control","Control",0,2,0,0,0,0,0,2
21,"Control","Control",0,0,0,0,0,0,0,0
42,"Control","Control",0,4,0,0,0,0,0,4
74,"Control","Control",0,18,0,2,0,0,2,20
56,"Control","Control",0,9,0,0,0,0,0,9
20,"Control","Control",0,1,0,0,0,0,0,1
93,"Control","Control",0,0,0,0,0,0,0,0
107,"Control","Control",0,0,0,0,0,0,0,0
76,"Control","Control",0,22,0,4,0,0,4,26
46,"Control","Control",0,3,0,0,0,0,0,3
28,"Control","Control",0,5,0,0,0,0,0,5
39,"Control","Control",0,2,0,1,0,0,1,3
57,"Control","Control",0,6,3,0,0,3,0,9
47,"Control","Control",0,1,0,0,0,0,0,1
98,"Control","Control",0,0,0,1,0,0,1,1
37,"Control","Control",0,0,0,0,0,0,0,0
17,"Control","Control",0,0,0,0,0,0,0,0
64,"Control","Control",0,17,0,0,0,0,0,17
19,"Control","Control",0,0,0,0,0,0,0,0
53,"Control","Control",0,4,1,1,0,1,1,6
35,"Control","Control",0,0,0,0,0,0,0,0
82,"Control","Control",0,21,0,5,0,0,5,26
52,"Control","Control",0,7,0,2,0,0,2,9
68,"Control","Control",0,2,0,0,0,0,0,2
92,"Control","Control",0,1,1,0,0,1,0,2
55,"Control","Control",0,5,0,1,0,0,1,6
97,"Control","Control",0,0,0,0,0,0,0,0
73,"Control","Control",0,10,0,0,0,0,0,10
78,"Control","Control",0,10,0,2,0,0,2,12
12,"Control","Control",0,0,0,0,0,0,0,0
24,"Control","Control",0,0,0,0,0,0,0,0
8,"Control","Control",0,15,0,3,0,0,3,18
16,"Control","Control",0,0,0,0,0,0,0,0
91,"Control","Control",0,2,2,0,0,2,0,4
102,"Control","Control",0,0,0,0,0,0,0,0
75,"Control","Control",0,6,0,1,0,0,1,7
