"day","insecticide_name","treatment","UA","UD","FA","FD","wash_status","fed","dead","total"
1,"Control","0",0,0,0,0,"unwashed",0,0,0
2,"Control","0",3,0,2,0,"unwashed",2,0,5
3,"Control","0",2,0,9,0,"unwashed",9,0,11
4,"Control","0",1,0,2,0,"unwashed",2,0,3
5,"Control","0",1,0,2,0,"unwashed",2,0,3
6,"Control","0",8,0,3,0,"unwashed",3,0,11
7,"Control","0",4,0,0,0,"unwashed",0,0,4
8,"Control","0",1,0,0,0,"unwashed",0,0,1
9,"Control","0",6,0,8,0,"unwashed",8,0,14
10,"Control","0",5,0,4,0,"unwashed",4,0,9
11,"Control","0",5,0,3,0,"unwashed",3,0,8
12,"Control","0",1,0,5,0,"unwashed",5,0,6
13,"Control","0",1,0,3,1,"unwashed",4,1,5
14,"Control","0",1,0,2,0,"unwashed",2,0,3
15,"Control","0",1,0,2,0,"unwashed",2,0,3
16,"Control","0",1,1,0,0,"unwashed",0,1,2
17,"Control","0",2,0,1,0,"unwashed",1,0,3
18,"Control","0",10,2,6,0,"unwashed",6,2,18
19,"Control","0",4,0,7,0,"unwashed",7,0,11
20,"Control","0",3,0,1,0,"unwashed",1,0,4
21,"Control","0",6,1,5,0,"unwashed",5,1,12
22,"Control","0",0,0,0,0,"unwashed",0,0,0
23,"Control","0",12,0,11,0,"unwashed",11,0,23
24,"Control","0",2,0,2,0,"unwashed",2,0,4
25,"Control","0",1,1,2,0,"unwashed",2,1,4
26,"Control","0",6,0,0,0,"unwashed",0,0,6
27,"Control","0",4,1,4,0,"unwashed",4,1,9
28,"Control","0",1,0,0,0,"unwashed",0,0,1
29,"Control","0",4,6,1,0,"unwashed",1,6,11
30,"Control","0",0,0,4,0,"unwashed",4,0,4
31,"Control","0",4,2,3,0,"unwashed",3,2,9
32,"Control","0",1,1,1,0,"unwashed",1,1,3
33,"Control","0",1,0,1,0,"unwashed",1,0,2
34,"Control","0",8,3,1,0,"unwashed",1,3,12
35,"Control","0",5,1,2,1,"unwashed",3,2,9
36,"Control","0",1,0,0,0,"unwashed",0,0,1
37,"Control","0",5,0,4,1,"unwashed",5,1,10
38,"Control","0",0,1,5,0,"unwashed",5,1,6
39,"Control","0",0,0,0,0,"unwashed",0,0,0
40,"Control","0",1,0,2,0,"unwashed",2,0,3
41,"Control","0",0,0,4,0,"unwashed",4,0,4
42,"Control","0",3,0,0,0,"unwashed",0,0,3
43,"Control","0",1,0,3,0,"unwashed",3,0,4
44,"Control","0",4,0,7,0,"unwashed",7,0,11
45,"Control","0",0,0,4,0,"unwashed",4,0,4
46,"Control","0",6,1,1,0,"unwashed",1,1,8
47,"Control","0",5,1,2,0,"unwashed",2,1,8
48,"Control","0",3,2,10,0,"unwashed",10,2,15
49,"Control","0",14,1,6,2,"unwashed",8,3,23
50,"Control","0",2,0,0,1,"unwashed",1,1,3
51,"Control","0",6,0,5,0,"unwashed",5,0,11
52,"Control","0",2,0,18,0,"unwashed",18,0,20
53,"Control","0",8,0,3,0,"unwashed",3,0,11
54,"Control","0",2,0,2,0,"unwashed",2,0,4
55,"Control","0",0,0,5,0,"unwashed",5,0,5
56,"Control","0",8,0,5,0,"unwashed",5,0,13
57,"Control","0",9,1,1,0,"unwashed",1,1,11
58,"Control","0",17,0,8,0,"unwashed",8,0,25
59,"Control","0",10,1,1,0,"unwashed",1,1,12
60,"Control","0",11,0,12,0,"unwashed",12,0,23
61,"Control","0",11,0,0,0,"unwashed",0,0,11
62,"Control","0",10,1,13,0,"unwashed",13,1,24
63,"Control","0",1,1,11,1,"unwashed",12,2,14
64,"Control","0",3,0,0,0,"unwashed",0,0,3
65,"Control","0",2,0,3,0,"unwashed",3,0,5
66,"Control","0",5,0,2,0,"unwashed",2,0,7
67,"Control","0",9,8,3,0,"unwashed",3,8,20
68,"Control","0",2,0,8,0,"unwashed",8,0,10
69,"Control","0",1,2,3,0,"unwashed",3,2,6
70,"Control","0",2,0,3,0,"unwashed",3,0,5
71,"Control","0",8,0,2,0,"unwashed",2,0,10
72,"Control","0",7,0,5,0,"unwashed",5,0,12
73,"Control","0",3,0,0,0,"unwashed",0,0,3
74,"Control","0",1,0,1,0,"unwashed",1,0,2
75,"Control","0",4,0,4,0,"unwashed",4,0,8
76,"Control","0",3,0,4,0,"unwashed",4,0,7
77,"Control","0",0,0,1,0,"unwashed",1,0,1
78,"Control","0",2,0,4,0,"unwashed",4,0,6
79,"Control","0",1,0,0,0,"unwashed",0,0,1
80,"Control","0",1,0,0,0,"unwashed",0,0,1
81,"Control","0",3,0,1,0,"unwashed",1,0,4
82,"Control","0",1,0,2,0,"unwashed",2,0,3
83,"Control","0",0,0,2,0,"unwashed",2,0,2
84,"Control","0",0,0,1,0,"unwashed",1,0,1
85,"Control","0",1,0,0,0,"unwashed",0,0,1
86,"Control","0",1,0,2,0,"unwashed",2,0,3
87,"Control","0",10,0,5,0,"unwashed",5,0,15
88,"Control","0",1,0,0,0,"unwashed",0,0,1
89,"Control","0",5,1,0,0,"unwashed",0,1,6
90,"Control","0",0,0,4,0,"unwashed",4,0,4
91,"Control","0",8,0,2,0,"unwashed",2,0,10
92,"Control","0",12,0,4,0,"unwashed",4,0,16
93,"Control","0",11,1,2,1,"unwashed",3,2,15
94,"Control","0",5,0,1,0,"unwashed",1,0,6
95,"Control","0",2,0,2,0,"unwashed",2,0,4
96,"Control","0",5,2,14,0,"unwashed",14,2,21
97,"Control","0",1,0,7,0,"unwashed",7,0,8
98,"Control","0",4,0,6,0,"unwashed",6,0,10
99,"Control","0",1,0,0,0,"unwashed",0,0,1
100,"Control","0",1,0,1,0,"unwashed",1,0,2
101,"Control","0",4,0,0,0,"unwashed",0,0,4
102,"Control","0",2,0,0,0,"unwashed",0,0,2
103,"Control","0",3,0,6,0,"unwashed",6,0,9
104,"Control","0",1,0,5,0,"unwashed",5,0,6
105,"Control","0",3,0,1,0,"unwashed",1,0,4
106,"Control","0",0,0,0,0,"unwashed",0,0,0
107,"Control","0",6,0,6,0,"unwashed",6,0,12
108,"Control","0",3,0,4,0,"unwashed",4,0,7
1,"Magnet","1",0,0,0,0,"unwashed",0,0,0
2,"Magnet","1",2,0,0,0,"unwashed",0,0,2
3,"Magnet","1",2,1,2,0,"unwashed",2,1,5
4,"Magnet","1",5,4,0,0,"unwashed",0,4,9
5,"Magnet","1",2,4,2,0,"unwashed",2,4,8
6,"Magnet","1",1,0,1,0,"unwashed",1,0,2
7,"Magnet","1",10,8,1,0,"unwashed",1,8,19
8,"Magnet","1",1,0,1,0,"unwashed",1,0,2
9,"Magnet","1",4,3,0,0,"unwashed",0,3,7
10,"Magnet","1",1,2,1,0,"unwashed",1,2,4
11,"Magnet","1",1,1,1,0,"unwashed",1,1,3
