"Date","wash_status","insecticide_name","treatment","UA","UD","FA","FD","fed","dead","total"
2020-11-12,"0","OlysetPlus",2,0,1,0,3,3,4,4
2020-11-12,"20","OlysetPlus",2,8,6,0,0,0,6,14
2020-11-12,"0","Olyset",1,11,0,2,0,2,0,13
2020-11-12,"20","Olyset",1,11,5,4,0,4,5,20
2020-11-12,"Control","Control",0,8,0,4,0,4,0,12
2020-11-12,"Control","Control",0,2,0,2,0,2,0,4
2020-11-12,"0","OlysetPlus",2,7,3,0,0,0,3,10
2020-11-12,"20","OlysetPlus",2,11,6,1,0,1,6,18
2020-11-12,"0","Olyset",1,11,7,0,0,0,7,18
2020-11-12,"20","Olyset",1,8,2,1,0,1,2,11
2020-11-12,"Control","Control",0,10,0,4,0,4,0,14
2020-11-12,"Control","Control",0,0,0,1,0,1,0,1
2020-11-13,"0","OlysetPlus",2,10,9,0,0,0,9,19
2020-11-13,"20","OlysetPlus",2,14,3,0,0,0,3,17
2020-11-13,"0","Olyset",1,4,2,1,0,1,2,7
2020-11-13,"20","Olyset",1,9,3,0,0,0,3,12
2020-11-13,"Control","Control",0,2,0,0,0,0,0,2
2020-11-13,"Control","Control",0,4,0,0,0,0,0,4
2020-11-13,"0","OlysetPlus",2,9,27,0,0,0,27,36
2020-11-13,"20","OlysetPlus",2,6,14,1,0,1,14,21
2020-11-13,"0","Olyset",1,20,8,0,0,0,8,28
2020-11-13,"20","Olyset",1,15,5,1,0,1,5,21
2020-11-13,"Control","Control",0,4,0,0,0,0,0,4
2020-11-13,"Control","Control",0,2,0,0,0,0,0,2
2020-11-14,"0","OlysetPlus",2,12,23,1,0,1,23,36
2020-11-14,"20","OlysetPlus",2,52,16,5,3,8,19,76
2020-11-14,"0","Olyset",1,10,1,0,0,0,1,11
2020-11-14,"20","Olyset",1,20,0,0,0,0,0,20
2020-11-14,"Control","Control",0,7,0,3,1,4,1,11
2020-11-14,"Control","Control",0,4,2,2,1,3,3,9
2020-11-14,"0","OlysetPlus",2,30,7,0,0,0,7,37
2020-11-14,"20","OlysetPlus",2,30,13,2,0,2,13,45
2020-11-14,"0","Olyset",1,32,5,0,0,0,5,37
2020-11-14,"20","Olyset",1,25,22,1,0,1,22,48
2020-11-14,"Control","Control",0,14,0,1,0,1,0,15
2020-11-14,"Control","Control",0,17,1,2,0,2,1,20
2020-11-15,"20","OlysetPlus",2,18,11,0,1,1,12,30
2020-11-15,"0","OlysetPlus",2,7,5,0,0,0,5,12
2020-11-15,"20","Olyset",1,16,7,0,0,0,7,23
2020-11-15,"0","Olyset",1,8,2,0,0,0,2,10
2020-11-15,"Control","Control",0,9,0,0,0,0,0,9
2020-11-15,"Control","Control",0,9,0,0,0,0,0,9
2020-11-15,"20","OlysetPlus",2,58,8,2,0,2,8,68
2020-11-15,"0","OlysetPlus",2,29,25,0,2,2,27,56
2020-11-15,"20","Olyset",1,36,5,3,0,3,5,44
2020-11-15,"0","Olyset",1,15,1,1,1,2,2,18
2020-11-15,"Control","Control",0,2,0,0,0,0,0,2
2020-11-15,"Control","Control",0,3,0,1,0,1,0,4
2020-11-16,"20","OlysetPlus",2,34,22,1,1,2,23,58
2020-11-16,"0","OlysetPlus",2,10,47,0,0,0,47,57
2020-11-16,"20","Olyset",1,32,6,1,0,1,6,39
2020-11-16,"0","Olyset",1,7,3,0,0,0,3,10
2020-11-16,"Control","Control",0,11,0,1,0,1,0,12
2020-11-16,"Control","Control",0,5,0,0,0,0,0,5
2020-11-16,"20","OlysetPlus",2,77,25,0,0,0,25,102
2020-11-16,"0","OlysetPlus",2,28,37,0,0,0,37,65
2020-11-16,"20","Olyset",1,74,18,1,0,1,18,93
2020-11-16,"0","Olyset",1,20,13,1,0,1,13,34
2020-11-16,"Control","Control",0,22,5,2,0,2,5,29
2020-11-16,"Control","Control",0,6,0,0,0,0,0,6
2020-11-17,"20","OlysetPlus",2,21,5,0,0,0,5,26
2020-11-17,"0","OlysetPlus",2,3,0,0,0,0,0,3
2020-11-17,"20","Olyset",1,20,0,1,0,1,0,21
2020-11-17,"0","Olyset",1,15,2,0,0,0,2,17
2020-11-17,"Control","Control",0,4,0,1,0,1,0,5
2020-11-17,"Control","Control",0,1,0,2,0,2,0,3
2020-11-17,"20","OlysetPlus",2,58,7,0,1,1,8,66
2020-11-17,"0","OlysetPlus",2,16,12,0,0,0,12,28
2020-11-17,"20","Olyset",1,46,6,2,1,3,7,55
2020-11-17,"0","Olyset",1,63,17,2,0,2,17,82
2020-11-17,"Control","Control",0,8,0,2,0,2,0,10
2020-11-17,"Control","Control",0,4,1,1,0,1,1,6
2020-11-19,"0","Olyset",1,11,0,2,0,2,0,13
2020-11-19,"20","Olyset",1,13,0,2,0,2,0,15
2020-11-19,"Control","Control",0,2,2,0,0,0,2,4
2020-11-19,"Control","Control",0,16,2,3,0,3,2,21
2020-11-19,"0","OlysetPlus",2,22,0,0,1,1,1,23
2020-11-19,"20","OlysetPlus",2,22,12,1,2,3,14,37
2020-11-19,"0","Olyset",1,38,0,0,0,0,0,38
2020-11-19,"20","Olyset",1,31,13,0,0,0,13,44
2020-11-19,"Control","Control",0,15,7,1,0,1,7,23
2020-11-19,"Control","Control",0,3,6,1,2,3,8,12
2020-11-19,"0","OlysetPlus",2,17,20,0,3,3,23,40
2020-11-19,"20","OlysetPlus",2,27,11,0,0,0,11,38
2020-11-20,"0","Olyset",1,12,2,3,0,3,2,17
2020-11-20,"20","Olyset",1,4,6,2,0,2,6,12
2020-11-20,"Control","Control",0,3,1,0,0,0,1,4
2020-11-20,"Control","Control",0,8,0,2,0,2,0,10
2020-11-20,"0","OlysetPlus",2,12,9,1,0,1,9,22
2020-11-20,"20","OlysetPlus",2,33,23,0,0,0,23,56
2020-11-20,"0","Olyset",1,20,11,0,0,0,11,31
2020-11-20,"20","Olyset",1,17,19,1,1,2,20,38
2020-11-20,"Control","Control",0,9,0,4,0,4,0,13
2020-11-20,"Control","Control",0,5,0,2,0,2,0,7
2020-11-20,"0","OlysetPlus",2,14,5,0,0,0,5,19
2020-11-20,"20","OlysetPlus",2,39,29,1,0,1,29,69
2020-11-21,"0","Olyset",1,12,0,2,0,2,0,14
2020-11-21,"20","Olyset",1,5,7,0,1,1,8,13
2020-11-21,"Control","Control",0,5,1,1,0,1,1,7
2020-11-21,"Control","Control",0,0,0,1,0,1,0,1
2020-11-21,"0","OlysetPlus",2,18,8,0,0,0,8,26
2020-11-21,"20","OlysetPlus",2,22,26,1,0,1,26,49
2020-11-21,"0","Olyset",1,20,3,0,0,0,3,23
2020-11-21,"20","Olyset",1,24,2,0,1,1,3,27
2020-11-21,"Control","Control",0,9,1,0,0,0,1,10
2020-11-21,"Control","Control",0,14,2,5,0,5,2,21
