"day","UA","UD","FD","FA","fed","total","dead","wash_status","insecticide_name","treatment"
2023-04-05,5,3,0,0,0,8,3,"0","InterceptorG2",2
2023-04-05,5,2,0,0,0,7,2,"0","InterceptorG2",2
2023-04-05,23,7,0,0,0,30,7,"20","InterceptorG2",2
2023-04-05,21,3,0,0,0,24,3,"20","InterceptorG2",2
2023-04-05,125,5,1,2,3,133,6,"0","MiraNet",1
2023-04-05,135,25,0,0,0,160,25,"0","MiraNet",1
2023-04-05,33,3,2,4,6,42,5,"20","MiraNet",1
2023-04-05,37,20,0,0,0,57,20,"20","MiraNet",1
2023-04-05,10,0,0,1,1,11,0,"Control","Control",0
2023-04-05,102,0,0,6,6,108,0,"Control","Control",0
2023-04-06,0,6,0,1,1,7,6,"0","InterceptorG2",2
2023-04-06,2,2,0,0,0,4,2,"0","InterceptorG2",2
2023-04-06,4,0,0,0,0,4,0,"20","InterceptorG2",2
2023-04-06,5,2,0,0,0,7,2,"20","InterceptorG2",2
2023-04-06,12,1,2,0,2,15,3,"0","MiraNet",1
2023-04-06,30,5,1,0,1,36,6,"0","MiraNet",1
2023-04-06,24,0,0,0,0,24,0,"20","MiraNet",1
2023-04-06,43,8,1,0,1,52,9,"20","MiraNet",1
2023-04-06,39,0,0,1,1,40,0,"Control","Control",0
2023-04-06,99,0,0,4,4,103,0,"Control","Control",0
2023-04-07,0,0,0,2,2,2,0,"0","InterceptorG2",2
2023-04-07,0,2,0,0,0,2,2,"0","InterceptorG2",2
2023-04-07,29,27,0,0,0,56,27,"20","InterceptorG2",2
2023-04-07,8,9,0,2,2,19,9,"20","InterceptorG2",2
2023-04-07,46,19,0,4,4,69,19,"0","MiraNet",1
2023-04-07,119,31,0,0,0,150,31,"0","MiraNet",1
2023-04-07,43,4,0,0,0,47,4,"20","MiraNet",1
2023-04-07,33,6,0,3,3,42,6,"20","MiraNet",1
2023-04-07,96,0,0,6,6,102,0,"Control","Control",0
2023-04-07,102,0,0,8,8,110,0,"Control","Control",0
2023-04-08,2,12,0,0,0,14,12,"0","InterceptorG2",2
2023-04-08,2,4,0,0,0,6,4,"0","InterceptorG2",2
2023-04-08,31,4,0,2,2,37,4,"20","InterceptorG2",2
2023-04-08,9,8,2,0,2,19,10,"20","InterceptorG2",2
2023-04-08,32,20,0,6,6,58,20,"0","MiraNet",1
2023-04-08,42,25,0,1,1,68,25,"0","MiraNet",1
2023-04-08,41,8,0,1,1,50,8,"20","MiraNet",1
2023-04-08,82,11,0,2,2,95,11,"20","MiraNet",1
2023-04-08,106,0,0,13,13,119,0,"Control","Control",0
2023-04-08,153,0,0,7,7,160,0,"Control","Control",0
2023-04-09,3,0,0,0,0,3,0,"0","InterceptorG2",2
2023-04-09,3,2,0,0,0,5,2,"0","InterceptorG2",2
2023-04-09,6,8,0,0,0,14,8,"20","InterceptorG2",2
2023-04-09,8,9,0,0,0,17,9,"20","InterceptorG2",2
2023-04-09,11,4,0,0,0,15,4,"0","MiraNet",1
2023-04-09,4,1,0,0,0,5,1,"0","MiraNet",1
2023-04-09,20,1,0,0,0,21,1,"20","MiraNet",1
2023-04-09,37,4,0,0,0,41,4,"20","MiraNet",1
2023-04-09,27,0,0,2,2,29,0,"Control","Control",0
2023-04-09,56,0,0,1,1,57,0,"Control","Control",0
2023-04-10,3,0,0,0,0,3,0,"0","InterceptorG2",2
2023-04-10,0,0,0,0,0,0,0,"0","InterceptorG2",2
2023-04-10,41,1,0,1,1,43,1,"20","InterceptorG2",2
2023-04-10,11,12,0,1,1,24,12,"20","InterceptorG2",2
2023-04-10,48,44,0,1,1,93,44,"0","MiraNet",1
2023-04-10,19,56,0,2,2,77,56,"0","MiraNet",1
2023-04-10,75,20,0,0,0,95,20,"20","MiraNet",1
2023-04-10,35,13,0,1,1,49,13,"20","MiraNet",1
