"season","treatment","insecticide_name","UA","UD","FA","FD","total","wash_status"
"LRS",0,"UTN",0,0,0,1,1,"Control"
"LRS",0,"UTN",1,0,0,1,2,"Control"
"LRS",0,"UTN",1,0,0,0,1,"Control"
"LRS",0,"UTN",1,0,0,0,1,"Control"
"LRS",0,"UTN",1,0,0,0,1,"Control"
"LRS",0,"UTN",0,0,1,0,1,"Control"
"LRS",0,"UTN",1,0,0,0,1,"Control"
"LRS",0,"UTN",0,0,0,1,1,"Control"
"LRS",0,"UTN",4,0,0,0,4,"Control"
"LRS",0,"UTN",1,0,0,0,1,"Control"
"LRS",0,"UTN",2,0,0,2,4,"Control"
"LRS",0,"UTN",3,0,0,0,3,"Control"
"LRS",0,"UTN",0,0,3,0,3,"Control"
"LRS",0,"UTN",0,6,2,0,8,"Control"
"LRS",0,"UTN",0,1,0,0,1,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",1,0,1,0,2,"Control"
"LRS",0,"UTN",0,0,3,0,3,"Control"
"LRS",0,"UTN",0,5,4,0,9,"Control"
"LRS",0,"UTN",0,15,0,0,15,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,1,1,"Control"
"LRS",0,"UTN",0,0,0,2,2,"Control"
"LRS",0,"UTN",0,2,0,0,2,"Control"
"LRS",0,"UTN",0,7,3,0,10,"Control"
"LRS",0,"UTN",0,0,7,0,7,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,1,0,0,1,"Control"
"LRS",0,"UTN",0,2,0,0,2,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,9,0,0,9,"Control"
"LRS",0,"UTN",0,1,0,0,1,"Control"
"LRS",0,"UTN",0,0,0,1,1,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,12,1,0,13,"Control"
"LRS",0,"UTN",0,0,11,0,11,"Control"
"LRS",0,"UTN",0,0,7,2,9,"Control"
"LRS",0,"UTN",0,0,13,0,13,"Control"
"LRS",0,"UTN",0,16,8,0,24,"Control"
"LRS",0,"UTN",5,0,4,0,9,"Control"
"LRS",0,"UTN",0,0,0,3,3,"Control"
"LRS",0,"UTN",0,0,0,4,4,"Control"
"LRS",0,"UTN",0,0,1,0,1,"Control"
"LRS",0,"UTN",0,0,19,0,19,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
"LRS",0,"UTN",0,0,0,0,0,"Control"
