"studyday","timeperiod","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
1,72,"Unwashed","Interceptor®",1,0,0,0,0,0,0,0
1,72,"20x Washed","Interceptor®",1,27,6,1,0,6,1,34
1,72,"Unwashed","Interceptor®G2",2,4,5,0,0,5,0,9
1,72,"Unwashed","Interceptor®",1,0,0,0,0,0,0,0
1,72,"20x Washed","Interceptor®",1,38,9,8,0,9,8,55
1,72,"Unwashed","Interceptor®G2",2,5,1,0,0,1,0,6
1,72,"20x Washed","Interceptor®G2",2,12,8,0,0,8,0,20
1,72,"Control","Control",0,3,0,1,0,0,1,4
1,72,"20x Washed","Interceptor®G2",2,8,30,0,0,30,0,38
1,72,"Control","Control",0,2,0,0,0,0,0,2
2,72,"20x Washed","Interceptor®G2",2,20,16,2,0,16,2,38
2,72,"20x Washed","Interceptor®",1,39,3,0,0,3,0,42
2,72,"Unwashed","Interceptor®",1,0,0,0,0,0,0,0
2,72,"Unwashed","Interceptor®",1,0,0,0,0,0,0,0
2,72,"Unwashed","Interceptor®G2",2,2,0,0,0,0,0,2
2,72,"20x Washed","Interceptor®G2",2,20,8,0,0,8,0,28
2,72,"Unwashed","Interceptor®G2",2,1,0,0,0,0,0,1
2,72,"Control","Control",0,2,1,0,0,1,0,3
2,72,"20x Washed","Interceptor®",1,12,9,0,0,9,0,21
2,72,"Control","Control",0,1,0,1,1,1,2,3
3,72,"Unwashed","Interceptor®",1,0,0,0,0,0,0,0
3,72,"20x Washed","Interceptor®G2",2,24,11,0,1,12,1,36
3,72,"20x Washed","Interceptor®",1,50,12,1,0,12,1,63
3,72,"Unwashed","Interceptor®G2",2,9,22,0,0,22,0,31
3,72,"Control","Control",0,15,0,1,0,0,1,16
3,72,"Control","Control",0,1,0,0,0,0,0,1
3,72,"Unwashed","Interceptor®",1,1,1,0,0,1,0,2
3,72,"20x Washed","Interceptor®",1,7,29,0,0,29,0,36
3,72,"Unwashed","Interceptor®G2",2,6,1,0,0,1,0,7
3,72,"20x Washed","Interceptor®G2",2,18,7,0,0,7,0,25
4,72,"Control","Control",0,7,0,1,0,0,1,8
