"trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
26,"36","interceptor",1,0,0,0,0,0,0,0
30,"Control","untreated",0,0,0,0,0,0,0,0
26,"36","olysetplus",2,0,0,0,0,0,0,0
7,"0","interceptorG2",3,0,0,0,0,0,0,0
35,"0","interceptor",1,0,0,0,0,0,0,0
24,"Control","untreated",0,0,0,0,0,0,0,0
36,"36","interceptorG2",3,0,0,0,0,0,0,0
26,"0","olysetplus",2,0,0,0,0,0,0,0
5,"36","interceptorG2",3,0,0,0,0,0,0,0
34,"Control","untreated",0,0,0,0,0,0,0,0
15,"36","interceptor",1,0,0,0,0,0,0,0
28,"Control","untreated",0,0,0,0,0,0,0,0
22,"36","olysetplus",2,0,0,0,0,0,0,0
6,"0","interceptor",1,0,0,0,0,0,0,0
27,"0","interceptor",1,0,0,0,0,0,0,0
19,"Control","untreated",0,0,0,0,0,0,0,0
12,"Control","untreated",0,0,0,0,0,0,0,0
26,"36","interceptorG2",3,0,0,0,0,0,0,0
31,"Control","untreated",0,0,0,0,0,0,0,0
34,"36","interceptor",1,0,0,0,0,0,0,0
25,"Control","untreated",0,0,0,0,0,0,0,0
6,"Control","untreated",0,1,0,0,0,0,0,1
34,"Control","untreated",0,0,0,0,0,0,0,0
26,"36","interceptorG2",3,0,0,0,0,0,0,0
30,"Control","untreated",0,0,0,0,0,0,0,0
4,"Control","untreated",0,0,0,0,0,0,0,0
15,"Control","untreated",0,0,0,0,0,0,0,0
26,"36","interceptorG2",3,0,0,0,0,0,0,0
15,"0","interceptor",1,0,0,0,0,0,0,0
23,"36","interceptor",1,0,0,0,0,0,0,0
34,"36","interceptorG2",3,0,0,0,0,0,0,0
19,"36","interceptorG2",3,0,0,0,0,0,0,0
15,"36","interceptorG2",3,0,0,0,0,0,0,0
20,"36","olysetplus",2,0,0,0,0,0,0,0
26,"Control","untreated",0,0,0,0,0,0,0,0
36,"Control","untreated",0,0,0,0,0,0,0,0
13,"36","olysetplus",2,1,0,0,0,0,0,1
27,"Control","untreated",0,0,0,0,0,0,0,0
19,"0","interceptorG2",3,0,0,0,0,0,0,0
26,"0","interceptorG2",3,0,0,0,0,0,0,0
12,"Control","untreated",0,0,0,0,0,0,0,0
33,"Control","untreated",0,0,0,0,0,0,0,0
31,"0","olysetplus",2,0,0,0,0,0,0,0
26,"Control","untreated",0,0,0,0,0,0,0,0
29,"Control","untreated",0,0,0,0,0,0,0,0
21,"Control","untreated",0,0,0,0,0,0,0,0
7,"36","interceptor",1,0,0,0,0,0,0,0
3,"0","interceptorG2",3,0,0,0,0,0,0,0
16,"Control","untreated",0,0,0,0,0,0,0,0
5,"Control","untreated",0,0,0,0,0,0,0,0
20,"36","interceptorG2",3,0,0,0,0,0,0,0
7,"Control","untreated",0,0,0,0,0,0,0,0
14,"36","olysetplus",2,0,0,0,0,0,0,0
11,"36","interceptor",1,0,0,0,0,0,0,0
28,"Control","untreated",0,0,0,0,0,0,0,0
31,"36","interceptor",1,0,0,0,0,0,0,0
23,"Control","untreated",0,0,0,0,0,0,0,0
29,"0","olysetplus",2,0,0,0,0,0,0,0
19,"36","interceptor",1,0,0,0,0,0,0,0
36,"0","interceptorG2",3,0,0,0,0,0,0,0
6,"0","olysetplus",2,0,0,0,0,0,0,0
7,"0","olysetplus",2,0,0,0,0,0,0,0
4,"0","interceptorG2",3,0,0,0,0,0,0,0
33,"Control","untreated",0,0,0,0,0,0,0,0
27,"Control","untreated",0,0,0,0,0,0,0,0
28,"36","interceptorG2",3,0,0,0,0,0,0,0
36,"Control","untreated",0,0,0,0,0,0,0,0
30,"0","interceptor",1,0,0,0,0,0,0,0
6,"Control","untreated",0,0,0,0,0,0,0,0
15,"Control","untreated",0,0,0,0,0,0,0,0
12,"Control","untreated",0,0,0,0,0,0,0,0
3,"36","interceptor",1,0,0,0,0,0,0,0
22,"Control","untreated",0,0,0,0,0,0,0,0
11,"36","olysetplus",2,0,0,0,0,0,0,0
23,"36","interceptor",1,0,0,0,0,0,0,0
27,"36","olysetplus",2,0,0,0,0,0,0,0
18,"Control","untreated",0,0,0,0,0,0,0,0
3,"36","interceptorG2",3,0,0,0,0,0,0,0
27,"Control","untreated",0,0,0,0,0,0,0,0
1,"0","olysetplus",2,0,0,0,0,0,0,0
4,"0","interceptor",1,0,0,0,0,0,0,0
34,"Control","untreated",0,0,0,0,0,0,0,0
23,"36","olysetplus",2,0,0,0,0,0,0,0
30,"36","interceptor",1,0,0,0,0,0,0,0
4,"Control","untreated",0,0,0,0,0,0,0,0
29,"Control","untreated",0,0,0,0,0,0,0,0
17,"Control","untreated",0,0,0,0,0,0,0,0
3,"Control","untreated",0,0,0,0,0,0,0,0
11,"36","interceptorG2",3,0,0,0,0,0,0,0
30,"Control","untreated",0,0,0,0,0,0,0,0
28,"36","interceptor",1,1,0,0,0,0,0,1
17,"Control","untreated",0,0,0,0,0,0,0,0
23,"36","interceptor",1,0,0,0,0,0,0,0
18,"Control","untreated",0,0,0,0,0,0,0,0
17,"36","interceptor",1,0,0,0,0,0,0,0
23,"36","interceptorG2",3,0,0,0,0,0,0,0
23,"Control","untreated",0,0,0,0,0,0,0,0
8,"Control","untreated",0,0,0,0,0,0,0,0
34,"Control","untreated",0,0,0,0,0,0,0,0
21,"36","interceptorG2",3,0,0,0,0,0,0,0
20,"Control","untreated",0,0,0,0,0,0,0,0
2,"36","interceptor",1,0,0,0,0,0,0,0
10,"36","olysetplus",2,0,0,0,0,0,0,0
24,"0","olysetplus",2,0,0,0,0,0,0,0
36,"36","olysetplus",2,0,0,0,0,0,0,0
2,"0","interceptorG2",3,0,0,0,0,0,0,0
9,"36","interceptorG2",3,0,0,0,0,0,0,0
9,"36","interceptor",1,0,0,0,0,0,0,0
20,"Control","untreated",0,0,0,0,0,0,0,0
36,"0","interceptor",1,0,0,0,0,0,0,0
22,"36","interceptor",1,0,0,0,0,0,0,0
28,"0","olysetplus",2,0,0,0,0,0,0,0
13,"Control","untreated",0,0,0,0,0,0,0,0
32,"Control","untreated",0,0,0,0,0,0,0,0
20,"Control","untreated",0,0,0,0,0,0,0,0
29,"36","interceptorG2",3,0,0,0,0,0,0,0
4,"0","interceptorG2",3,0,1,0,0,1,0,1
35,"36","interceptorG2",3,0,0,0,0,0,0,0
7,"36","olysetplus",2,0,0,0,0,0,0,0
3,"Control","untreated",0,0,0,0,0,0,0,0
19,"Control","untreated",0,0,0,0,0,0,0,0
21,"36","interceptorG2",3,0,0,0,0,0,0,0
1,"36","interceptor",1,0,0,0,0,0,0,0
23,"0","interceptorG2",3,0,1,0,0,1,0,1
4,"Control","untreated",0,0,0,0,0,0,0,0
30,"Control","untreated",0,0,0,0,0,0,0,0
8,"Control","untreated",0,0,0,0,0,0,0,0
29,"36","olysetplus",2,0,0,0,0,0,0,0
13,"0","interceptor",1,0,0,0,0,0,0,0
14,"0","olysetplus",2,0,0,0,0,0,0,0
28,"Control","untreated",0,0,0,0,0,0,0,0
12,"0","olysetplus",2,0,0,0,0,0,0,0
21,"Control","untreated",0,0,0,0,0,0,0,0
36,"Control","untreated",0,0,0,0,0,0,0,0
7,"36","interceptor",1,0,0,0,0,0,0,0
14,"0","interceptorG2",3,0,0,0,0,0,0,0
16,"Control","untreated",0,0,0,0,0,0,0,0
27,"36","olysetplus",2,0,0,0,0,0,0,0
25,"36","interceptor",1,0,0,0,0,0,0,0
11,"0","olysetplus",2,0,0,0,0,0,0,0
33,"36","interceptor",1,0,0,0,0,0,0,0
30,"Control","untreated",0,0,0,0,0,0,0,0
11,"Control","untreated",0,0,0,0,0,0,0,0
14,"Control","untreated",0,0,0,0,0,0,0,0
27,"36","interceptorG2",3,0,0,0,0,0,0,0
15,"Control","untreated",0,0,0,0,0,0,0,0
12,"Control","untreated",0,0,0,0,0,0,0,0
31,"Control","untreated",0,0,0,0,0,0,0,0
35,"Control","untreated",0,0,0,0,0,0,0,0
24,"0","interceptor",1,0,0,0,0,0,0,0
13,"36","interceptor",1,0,0,0,0,0,0,0
32,"36","interceptorG2",3,0,0,0,0,0,0,0
18,"Control","untreated",0,0,0,0,0,0,0,0
25,"Control","untreated",0,0,0,0,0,0,0,0
1,"36","interceptor",1,0,0,0,0,0,0,0
14,"Control","untreated",0,0,0,0,0,0,0,0
15,"36","olysetplus",2,0,0,0,0,0,0,0
28,"Control","untreated",0,0,0,0,0,0,0,0
1,"Control","untreated",0,0,0,0,0,0,0,0
35,"0","interceptorG2",3,0,0,0,0,0,0,0
16,"36","interceptor",1,0,0,0,0,0,0,0
27,"0","interceptorG2",3,0,0,0,0,0,0,0
16,"36","olysetplus",2,0,0,0,0,0,0,0
3,"0","interceptorG2",3,0,0,0,0,0,0,0
1,"Control","untreated",0,0,0,0,0,0,0,0
15,"36","olysetplus",2,0,0,0,0,0,0,0
21,"36","interceptor",1,0,0,0,0,0,0,0
9,"0","olysetplus",2,1,0,0,0,0,0,1
35,"0","interceptorG2",3,0,0,0,0,0,0,0
36,"Control","untreated",0,0,0,0,0,0,0,0
36,"Control","untreated",0,0,0,0,0,0,0,0
8,"Control","untreated",0,0,0,0,0,0,0,0
30,"0","olysetplus",2,0,0,0,0,0,0,0
13,"Control","untreated",0,0,0,0,0,0,0,0
19,"36","interceptor",1,0,0,0,0,0,0,0
22,"Control","untreated",0,0,0,0,0,0,0,0
9,"0","interceptor",1,0,0,0,0,0,0,0
29,"36","olysetplus",2,0,0,0,0,0,0,0
17,"0","interceptor",1,0,0,0,0,0,0,0
23,"36","interceptorG2",3,0,0,0,0,0,0,0
6,"0","olysetplus",2,0,0,0,0,0,0,0
24,"0","interceptor",1,0,0,0,0,0,0,0
4,"Control","untreated",0,0,0,0,0,0,0,0
30,"0","interceptor",1,0,0,0,0,0,0,0
16,"0","olysetplus",2,1,1,0,0,1,0,2
8,"0","olysetplus",2,0,0,0,0,0,0,0
24,"36","olysetplus",2,0,0,0,0,0,0,0
32,"Control","untreated",0,0,0,0,0,0,0,0
6,"36","interceptorG2",3,0,0,0,0,0,0,0
22,"Control","untreated",0,0,0,0,0,0,0,0
9,"36","olysetplus",2,0,0,0,0,0,0,0
21,"36","olysetplus",2,1,0,0,0,0,0,1
20,"36","interceptor",1,0,0,0,0,0,0,0
1,"0","olysetplus",2,0,0,0,0,0,0,0
2,"Control","untreated",0,0,0,0,0,0,0,0
27,"36","interceptorG2",3,0,0,0,0,0,0,0
8,"36","interceptor",1,0,0,0,0,0,0,0
19,"0","interceptorG2",3,0,0,0,0,0,0,0
32,"Control","untreated",0,0,0,0,0,0,0,0
17,"Control","untreated",0,0,0,0,0,0,0,0
18,"36","interceptorG2",3,0,0,0,0,0,0,0
16,"36","interceptorG2",3,0,0,0,0,0,0,0
29,"36","interceptorG2",3,0,0,0,0,0,0,0
21,"0","interceptor",1,1,0,0,0,0,0,1
12,"Control","untreated",0,1,0,0,0,0,0,1
9,"Control","untreated",0,0,0,0,0,0,0,0
17,"36","olysetplus",2,0,0,0,0,0,0,0
2,"36","interceptor",1,0,0,0,0,0,0,0
3,"0","olysetplus",2,0,0,0,0,0,0,0
27,"36","interceptor",1,0,0,0,0,0,0,0
14,"0","interceptorG2",3,0,0,0,0,0,0,0
