"day","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","total"
1,"Control","Control",0,3,0,2,0,0,5
2,"Control","Control",0,2,2,2,0,33.3333333333333,6
3,"Control","Control",0,3,2,3,0,25,8
4,"Control","Control",0,0,1,5,0,16.6666666666667,6
5,"Control","Control",0,3,0,0,0,0,3
6,"Control","Control",0,3,0,1,0,0,4
7,"Control","Control",0,1,0,0,0,0,1
8,"Control","Control",0,2,0,1,0,0,3
9,"Control","Control",0,2,0,5,0,0,7
10,"Control","Control",0,0,0,3,0,0,3
11,"Control","Control",0,2,0,6,0,0,8
12,"Control","Control",0,3,1,18,0,4.54545454545455,22
13,"Control","Control",0,0,0,5,1,16.6666666666667,6
14,"Control","Control",0,42,3,11,0,5.35714285714286,56
15,"Control","Control",0,3,3,10,0,18.75,16
16,"Control","Control",0,1,0,2,0,0,3
17,"Control","Control",0,1,0,1,0,0,2
18,"Control","Control",0,5,1,1,0,14.2857142857143,7
19,"Control","Control",0,0,0,5,0,0,5
20,"Control","Control",0,2,0,4,0,0,6
21,"Control","Control",0,0,0,1,0,0,1
22,"Control","Control",0,2,0,6,0,0,8
23,"Control","Control",0,9,0,5,0,0,14
24,"Control","Control",0,9,1,16,0,3.84615384615385,26
25,"Control","Control",0,1,1,4,0,16.6666666666667,6
26,"Control","Control",0,0,0,4,0,0,4
27,"Control","Control",0,0,0,7,0,0,7
28,"Control","Control",0,1,0,2,0,0,3
29,"Control","Control",0,2,0,2,0,0,4
30,"Control","Control",0,0,1,3,0,25,4
31,"Control","Control",0,4,0,4,0,0,8
32,"Control","Control",0,0,1,3,0,25,4
33,"Control","Control",0,5,1,11,0,5.88235294117647,17
34,"Control","Control",0,1,0,1,0,0,2
35,"Control","Control",0,4,1,4,0,11.1111111111111,9
36,"Control","Control",0,1,0,8,0,0,9
37,"Control","Control",0,0,0,4,0,0,4
38,"Control","Control",0,3,1,2,0,16.6666666666667,6
39,"Control","Control",0,9,2,4,0,13.3333333333333,15
40,"Control","Control",0,1,0,2,0,0,3
41,"Control","Control",0,2,0,2,0,0,4
42,"Control","Control",0,3,0,4,0,0,7
43,"Control","Control",0,2,0,2,0,0,4
44,"Control","Control",0,1,0,0,0,0,1
45,"Control","Control",0,3,0,9,0,0,12
46,"Control","Control",0,2,0,8,0,0,10
47,"Control","Control",0,4,0,4,0,0,8
48,"Control","Control",0,1,2,4,0,28.5714285714286,7
49,"Control","Control",0,3,0,4,0,0,7
50,"Control","Control",0,1,0,5,0,0,6
51,"Control","Control",0,0,1,9,0,10,10
52,"Control","Control",0,2,0,2,0,0,4
53,"Control","Control",0,4,0,4,0,0,8
54,"Control","Control",0,4,0,3,0,0,7
55,"Control","Control",0,1,0,1,0,0,2
56,"Control","Control",0,2,0,7,0,0,9
57,"Control","Control",0,0,0,1,0,0,1
58,"Control","Control",0,1,0,2,0,0,3
59,"Control","Control",0,3,0,7,0,0,10
60,"Control","Control",0,1,0,7,0,0,8
61,"Control","Control",0,0,0,3,0,0,3
62,"Control","Control",0,5,0,11,0,0,16
63,"Control","Control",0,6,2,6,0,14.2857142857143,14
64,"Control","Control",0,4,0,9,0,0,13
65,"Control","Control",0,10,1,11,0,4.54545454545455,22
66,"Control","Control",0,0,0,3,0,0,3
67,"Control","Control",0,4,0,8,0,0,12
68,"Control","Control",0,2,0,7,0,0,9
69,"Control","Control",0,0,0,4,0,0,4
70,"Control","Control",0,6,0,9,0,0,15
71,"Control","Control",0,1,0,8,0,0,9
72,"Control","Control",0,13,1,15,0,3.44827586206897,29
73,"Control","Control",0,26,2,37,0,3.07692307692308,65
1,"20x","ILN",1,3,0,3,0,0,6
2,"20x","ILN",1,0,1,2,1,50,4
3,"20x","ILN",1,0,2,0,0,100,2
4,"20x","ILN",1,1,1,0,0,50,2
