"netType","EHT","reference","parameter","aged_time","treatment","Unwashed","Washed","halflife_insecticide","halflife_insecticide_old"
"Pyrethroid-only","Kibondo","Kibondo et al.","Postprandialkilling",3,1,0.21,0.18,21,21
"Interceptor G2","Kibondo","Kibondo et al.","Postprandialkilling",3,2,0.52,0.47,31.2,31.2
"Pyrethroid-only","Kibondo","Kibondo et al.","Preprandialkilling",3,1,0.26,0.25,77.9999999999998,77.9999999999998
"Interceptor G2","Kibondo","Kibondo et al.","Preprandialkilling",3,2,0.44,0.42,65.9999999999999,65.9999999999999
"Pyrethroid-only","Kibondo","Kibondo et al.","Repellent",3,1,0.82,0.77,49.2,49.2
"Interceptor G2","Kibondo","Kibondo et al.","Repellent",3,2,0.71,0.74,-71.0000000000001,-71.0000000000001
"Pyrethroid-only","Kibondo","Kibondo et al.","KillingDuringHostSeeking",3,1,1.82,1.78,136.5,136.5
"Interceptor G2","Kibondo","Kibondo et al.","KillingDuringHostSeeking",3,2,3.58,3.41,63.1764705882353,63.1764705882353
"control","Kibondo","Kibondo et al.","alpha_0",3,-1,0.17,0.16,51,51
"control","Kibondo","Kibondo et al.","mu_0",3,-1,0.14,0.14,Inf,Inf
"Pyrethroid-only","BIT055","BIT055","Postprandialkilling",3,1,0.27,0.18,9,9
"Olyset Plus","BIT055","BIT055","Postprandialkilling",3,2,0.53,0.31,7.22727272727273,7.22727272727273
"Pyrethroid-only","BIT055","BIT055","Preprandialkilling",3,1,0.36,0.27,12,12
"Olyset Plus","BIT055","BIT055","Preprandialkilling",3,2,0.45,0.31,9.64285714285714,9.64285714285714
"Pyrethroid-only","BIT055","BIT055","Repellent",3,1,0.78,0.71,33.4285714285714,33.4285714285714
"Olyset Plus","BIT055","BIT055","Repellent",3,2,0.9,0.8,27,27
"Pyrethroid-only","BIT055","BIT055","KillingDuringHostSeeking",3,1,1.74,1.28,11.3478260869565,11.3478260869565
"Olyset Plus","BIT055","BIT055","KillingDuringHostSeeking",3,2,2.33,1.47,8.12790697674419,8.12790697674419
"control","BIT055","BIT055","alpha_0",3,-1,0.26,0.25,77.9999999999998,77.9999999999998
"control","BIT055","BIT055","mu_0",3,-1,0.05,0.05,Inf,Inf
"Pyrethroid-only","Assenga","Assenga et al., Tanzania","Postprandialkilling",3,1,0.19,0.05,4.07142857142857,4.07142857142857
"Olyset Plus","Assenga","Assenga et al., Tanzania","Postprandialkilling",3,2,0.2,0.34,-4.28571428571429,-4.28571428571429
"Interceptor G2","Assenga","Assenga et al., Tanzania","Postprandialkilling",3,3,0.14,0.27,-3.23076923076923,-3.23076923076923
"Pyrethroid-only","Assenga","Assenga et al., Tanzania","Preprandialkilling",3,1,0.35,0.28,15,15
